Tweets,Label
tukang fotocopy depan komplek aku cocok pelayan karens diner ,1
karens diner punya gofood gojek dimarahin pelayan,0
orang medan masuk karens diner pelayan takut ,0
video karens diner paling asik ,1
manager supervisor direktur karens diner tamu datang langsung dapat desis,0
karens diner jakarta akan gagal karena orang indonesia  sopan santun ,0
cara karyawan karens diner indonesia mencaci pelanggan aneh,0
karens diner pelanggan rasa tidak nyaman,0
menyenangkan jadi pelayan karens diner  ,1
emosi makan karens diner jadi tidak selera,0
tidak cocok orang indonesia dengan konsep karens diner  ,0
ke karens diner conten creator bikin video upload,1
karens diner belum rasa didatangi organisasi masyarakat minta uang keamanan ,0
karens diner bukan tidak cocok di indonesia netizen lebih kesal konsep tidak begitu,0
fachrul ke karens diner pelayan yang kena kritik,0
ide konten seleb tiktok datang ke karens diner mengamalkan falsafah jawa,1
yang cocok jadi karyawan karens diner anak-anak mimpi,1
teman aku jadi pelayan karens diner,1
kakak dan ibu administrasi akademik cocok jadi pelayan karens diner    ,1
aku mau ngelamar kerja paruh waktu karens diner teman bilang aku cocok kerja disana ,1
intip pegawai karens diner marah,0
sudah cocok jadi pelayan karens diner,1
karens diner jakarta belajar sama tukang siomay kalimalang dan jimmy hendrix ,1
review menu karens diner jakarta restoran viral pelayan pemarah dan kasar  ,0
kalau hantu sini maju tapi kalau bilang muka aku kayak pantat panci aku marah,0
segini harga makan burger di karens diner  ,1
tidak perlu repot ke karens diner cukup tinggal di medan,1
karens diner ada di jalan kalimantan,1
karyawan adiksi cocok kerja di karens diner ,1
karens diner tidak percaya diri mendengar mulut kamu ,0
karyawan karens diner saat nama di reservasi didahului oleh kritikan,0
 fuji utami jadi pelayan restoran karens diner cocok mimik wajah,1
perspektif aku memang indira drama pemilik karens diner bersyukur ,1
orang indonesia baperan chat terlambat dua menit mikir berlebih nggak cocok ke karens diner  ,0
baru karens diner yang mantap,1
kemaren lihat tiktok konten karens diner dari pelanggan,1
bahan penelitian untuk karens diner sesungguhnya ,1
lewat batas karens diner indonesia dapat kritik  ,0
 karens diner dikenal pelayan sombong pengunjung  justru dapat pelayan ramah ,1
pegawai sephora indonesia cocok jadi pelayan di karens diner ,1
judes bapak aku daripada karyawan karens diner ,0
awal ngira tidak aneh udah nonton video di tiktok aneh,0
aku baru tahu karens diner ada di bandung   ,1
 aku lihat tiktok adit yapeo sama mama ke karens diner lucu sekali,1
sebelum karens diner pegawai judes di indonesia pertama fotocopy dekat kampus  ,0
bawa filosofi teras masuk karens diner  ,1
coba ke karens diner kayak makan di cafe diam kalau diganggu sama pelayan,0
karens diner ramai aku chat dari pagi tidak dibalas,0
karens diner cocok di surabaya pelanggan datang langsung lapor ,1
menurut aku karens diner di indonesia laku banyak peminat kayak video lucu,1
nonton karens diner jadi ingat yohana,1
tidak perlu ke karens diner cukup ke kampus ,1
pelayan karens diner cepat tua tidak senyum tidak sepadan kerja begitu menurut aku,0
kalian masih selera makan dimarahin karens diner,1
kenapa karens diner indonesia sombong palsu lebih baik suway the reeze ,0
pendatang karens diner aussie tahu mereka dapat perlakuan marah mereka menerima dan menikmati ,1
aku lebih butuh tenang daripada karens diner ,1
karens diner dengan kearifan lokal,1
boleh kerja di karens diner ,1
 capek kerja mau jadi waitres karens diner,1
karens diner tidak cocok di jepang  orang bisa sakit jantung dengar orang marah tidak jelas seperti itu ,0
karyawan karens diner waktu pelanggan bikin tiktok review resto    ,1
orang medan bawa ke karens diner ludah muka pelayan,0
kamu datang ke karens diner tanpa marah pasti tidak ahli,0
mental aku semalam latihan jadi pegawai karen s diner ,1
coba karens diner versi keliling ,1
warung  di klebengan adalah karens diner lokal jogja ,1
orang sungkanan kayak aku tidak bisa ke karens diner pelayan salah bawa makanan aku minta maaf  ,1
kemaren ramai di karens diner selebgram norak  tadi aku lihat orang lain baik,0
karens diner yang aku bayangkan sesuai karakter di gambar ,1
pertanda aku harus berlibur ke karen s diner ,1
 daripada ke karens diner coba ke kelurahan kecamatan pemarah natural tidak aneh  ,0
tukang seblak dekat rumah aku lebih cocok kerja di karens diner dibanding pegawai karens diner,0
aku nanti kerja di karens diner cocok,1
buat apa ke karens diner kalau ada admin kemahasiswaan it pemarah,0
pendapat aku karens diner tidak sesuai karakteristik jutek ,0
jangan ke karens diner kalau mau dimarahin pacaran sama aku,0
