Tweets,Label,Tokenization,Stop_Removal,Normalisasi,Stemming
tukang fotocopy depan komplek aku cocok pelayan karens diner ,1,"['tukang', 'fotocopy', 'depan', 'komplek', 'aku', 'cocok', 'pelayan', 'karens', 'diner', '']","['tukang', 'fotocopy', 'komplek', 'cocok', 'pelayan', 'karens', 'diner', '']","['tukang', 'fotocopy', 'komplek', 'cocok', 'pelayan', 'karens', 'diner', '']","['tukang', 'fotocopy', 'komplek', 'cocok', 'layan', 'karens', 'diner', '']"
karens diner punya gofood gojek dimarahin pelayan,0,"['karens', 'diner', 'punya', 'gofood', 'gojek', 'dimarahin', 'pelayan']","['karens', 'diner', 'gofood', 'gojek', 'dimarahin', 'pelayan']","['karens', 'diner', 'gofood', 'gojek', 'dimarahin', 'pelayan']","['karens', 'diner', 'gofood', 'gojek', 'dimarahin', 'layan']"
orang medan masuk karens diner pelayan takut ,0,"['orang', 'medan', 'masuk', 'karens', 'diner', 'pelayan', 'takut', '']","['orang', 'medan', 'masuk', 'karens', 'diner', 'pelayan', 'takut', '']","['orang', 'medan', 'masuk', 'karens', 'diner', 'pelayan', 'takut', '']","['orang', 'medan', 'masuk', 'karens', 'diner', 'layan', 'takut', '']"
video karens diner paling asik ,1,"['video', 'karens', 'diner', 'paling', 'asik', '']","['video', 'karens', 'diner', 'asik', '']","['video', 'karens', 'diner', 'asik', '']","['video', 'karens', 'diner', 'asik', '']"
manager supervisor direktur karens diner tamu datang langsung dapat desis,0,"['manager', 'supervisor', 'direktur', 'karens', 'diner', 'tamu', 'datang', 'langsung', 'dapat', 'desis']","['manager', 'supervisor', 'direktur', 'karens', 'diner', 'tamu', 'langsung', 'desis']","['manager', 'supervisor', 'direktur', 'karens', 'diner', 'tamu', 'langsung', 'desis']","['manager', 'supervisor', 'direktur', 'karens', 'diner', 'tamu', 'langsung', 'desis']"
karens diner jakarta akan gagal karena orang indonesia  sopan santun ,0,"['karens', 'diner', 'jakarta', 'akan', 'gagal', 'karena', 'orang', 'indonesia', 'sopan', 'santun', '']","['karens', 'diner', 'jakarta', 'gagal', 'orang', 'indonesia', 'sopan', 'santun', '']","['karens', 'diner', 'jakarta', 'gagal', 'orang', 'indonesia', 'sopan', 'santun', '']","['karens', 'diner', 'jakarta', 'gagal', 'orang', 'indonesia', 'sopan', 'santun', '']"
cara karyawan karens diner indonesia mencaci pelanggan aneh,0,"['cara', 'karyawan', 'karens', 'diner', 'indonesia', 'mencaci', 'pelanggan', 'aneh']","['karyawan', 'karens', 'diner', 'indonesia', 'mencaci', 'pelanggan', 'aneh']","['karyawan', 'karens', 'diner', 'indonesia', 'mencaci', 'pelanggan', 'aneh']","['karyawan', 'karens', 'diner', 'indonesia', 'caci', 'langgan', 'aneh']"
karens diner pelanggan rasa tidak nyaman,0,"['karens', 'diner', 'pelanggan', 'rasa', 'tidak', 'nyaman']","['karens', 'diner', 'pelanggan', 'nyaman']","['karens', 'diner', 'pelanggan', 'nyaman']","['karens', 'diner', 'langgan', 'nyaman']"
menyenangkan jadi pelayan karens diner  ,1,"['menyenangkan', 'jadi', 'pelayan', 'karens', 'diner', '']","['menyenangkan', 'pelayan', 'karens', 'diner', '']","['menyenangkan', 'pelayan', 'karens', 'diner', '']","['senang', 'layan', 'karens', 'diner', '']"
emosi makan karens diner jadi tidak selera,0,"['emosi', 'makan', 'karens', 'diner', 'jadi', 'tidak', 'selera']","['emosi', 'makan', 'karens', 'diner', 'selera']","['emosi', 'makan', 'karens', 'diner', 'selera']","['emosi', 'makan', 'karens', 'diner', 'selera']"
